"State","Year","Child Population in Poverty (%)"
"Alabama","2017","24.6"
"Alaska","2017","14.9"
"Arizona","2017","20.8"
"Arkansas","2017","22.5"
"California","2017","18.1"
"Colorado","2017","12"
"Connecticut","2017","12.6"
"Delaware","2017","18.5"
"District of Columbia","2017","25.6"
"Florida","2017","20.3"
"Georgia","2017","21"
"Hawaii","2017","11.5"
"Idaho","2017","15.3"
"Illinois","2017","17"
"Indiana","2017","18.4"
"Iowa","2017","12.3"
"Kansas","2017","14.8"
"Kentucky","2017","22.4"
"Louisiana","2017","28"
"Maine","2017","13.1"
"Maryland","2017","12"
"Massachusetts","2017","13.5"
"Michigan","2017","19.7"
"Minnesota","2017","11.8"
"Mississippi","2017","26.9"
"Missouri","2017","18.6"
"Montana","2017","14.7"
"Nebraska","2017","14.1"
"Nevada","2017","18.5"
"New Hampshire","2017","10.3"
"New Jersey","2017","13.9"
"New Mexico","2017","27.2"
"New York","2017","19.7"
"North Carolina","2017","21.2"
"North Dakota","2017","10.9"
"Ohio","2017","20.1"
"Oklahoma","2017","21.5"
"Oregon","2017","16.5"
"Pennsylvania","2017","17"
"Puerto Rico","2017","57.8"
"Rhode Island","2017","16.6"
"South Carolina","2017","22.6"
"South Dakota","2017","16.6"
"Tennessee","2017","21.2"
"Texas","2017","20.9"
"Utah","2017","10.7"
"Vermont","2017","13.8"
"Virginia","2017","14"
"Washington","2017","14.3"
"West Virginia","2017","25.9"
"Wisconsin","2017","14.5"
"Wyoming","2017","13.3"
