"State","Year","Child Population in Poverty (%)"
"Alabama","2021","22.2"
"Alaska","2021","12.4"
"Arizona","2021","17.3"
"Arkansas","2021","22.4"
"California","2021","15.8"
"Colorado","2021","11.8"
"Connecticut","2021","12.7"
"Delaware","2021","16.8"
"District of Columbia","2021","23.9"
"Florida","2021","17.8"
"Georgia","2021","20.2"
"Hawaii","2021","13.6"
"Idaho","2021","13.1"
"Illinois","2021","16"
"Indiana","2021","16"
"Iowa","2021","12.5"
"Kansas","2021","13.4"
"Kentucky","2021","22.1"
"Louisiana","2021","26.9"
"Maine","2021","15.1"
"Maryland","2021","14"
"Massachusetts","2021","12.6"
"Michigan","2021","17.8"
"Minnesota","2021","10.8"
"Mississippi","2021","27.7"
"Missouri","2021","16.2"
"Montana","2021","14.1"
"Nebraska","2021","12.5"
"Nevada","2021","18.8"
"New Hampshire","2021","9.2"
"New Jersey","2021","14.2"
"New Mexico","2021","23.9"
"New York","2021","18.5"
"North Carolina","2021","18.1"
"North Dakota","2021","10.5"
"Ohio","2021","18.6"
"Oklahoma","2021","21.2"
"Oregon","2021","13.5"
"Pennsylvania","2021","16.9"
"Puerto Rico","2021","54.9"
"Rhode Island","2021","15"
"South Carolina","2021","20.1"
"South Dakota","2021","14.6"
"Tennessee","2021","18.1"
"Texas","2021","19.6"
"Utah","2021","8.1"
"Vermont","2021","10.4"
"Virginia","2021","13.1"
"Washington","2021","12"
"West Virginia","2021","20.7"
"Wisconsin","2021","13.4"
"Wyoming","2021","13.4"
