"State","Year","Child Population in Poverty (%)"
"Alabama","2019","21.4"
"Alaska","2019","13"
"Arizona","2019","19.1"
"Arkansas","2019","22.1"
"California","2019","15.6"
"Colorado","2019","10.9"
"Connecticut","2019","14.1"
"Delaware","2019","16.4"
"District of Columbia","2019","18.9"
"Florida","2019","17.7"
"Georgia","2019","18.7"
"Hawaii","2019","12.4"
"Idaho","2019","13.2"
"Illinois","2019","15.7"
"Indiana","2019","15.2"
"Iowa","2019","13"
"Kansas","2019","14.7"
"Kentucky","2019","21.7"
"Louisiana","2019","27"
"Maine","2019","13.8"
"Maryland","2019","12"
"Massachusetts","2019","11.6"
"Michigan","2019","17.6"
"Minnesota","2019","11.2"
"Mississippi","2019","28.1"
"Missouri","2019","17.1"
"Montana","2019","14.9"
"Nebraska","2019","11"
"Nevada","2019","16.9"
"New Hampshire","2019","7.1"
"New Jersey","2019","12.3"
"New Mexico","2019","24.9"
"New York","2019","18.1"
"North Carolina","2019","19.5"
"North Dakota","2019","10.2"
"Ohio","2019","18.4"
"Oklahoma","2019","19.9"
"Oregon","2019","13.1"
"Pennsylvania","2019","16.9"
"Puerto Rico","2019","56.8"
"Rhode Island","2019","14"
"South Carolina","2019","19.7"
"South Dakota","2019","15"
"Tennessee","2019","19.7"
"Texas","2019","19.2"
"Utah","2019","9.9"
"Vermont","2019","10.2"
"Virginia","2019","13.4"
"Washington","2019","12"
"West Virginia","2019","20.1"
"Wisconsin","2019","13.5"
"Wyoming","2019","11.6"
