"State","Year","Number","Median Length of Stay (months)"
"Alabama","2020","3504","NaN"
"Alaska","2020","1353","NaN"
"Arizona","2020","9365","NaN"
"Arkansas","2020","3106","NaN"
"California","2020","24748","NaN"
"Colorado","2020","3554","NaN"
"Connecticut","2020","1345","NaN"
"Delaware","2020","273","NaN"
"District of Columbia","2020","212","NaN"
"Florida","2020","13392","NaN"
"Georgia","2020","4812","NaN"
"Hawaii","2020","1029","NaN"
"Idaho","2020","1081","NaN"
"Illinois","2020","7837","NaN"
"Indiana","2020","8426","NaN"
"Iowa","2020","2628","NaN"
"Kansas","2020","3032","NaN"
"Kentucky","2020","5204","NaN"
"Louisiana","2020","2414","NaN"
"Maine","2020","1115","NaN"
"Maryland","2020","NaN","NaN"
"Massachusetts","2020","4594","NaN"
"Michigan","2020","4386","NaN"
"Minnesota","2020","5007","NaN"
"Mississippi","2020","1800","NaN"
"Missouri","2020","6499","NaN"
"Montana","2020","2022","NaN"
"Nebraska","2020","2069","NaN"
"Nevada","2020","2788","NaN"
"New Hampshire","2020","677","NaN"
"New Jersey","2020","1832","NaN"
"New Mexico","2020","1184","NaN"
"New York","2020","6576","NaN"
"North Carolina","2020","5119","NaN"
"North Dakota","2020","990","NaN"
"Ohio","2020","10720","NaN"
"Oklahoma","2020","4051","NaN"
"Oregon","2020","2743","NaN"
"Pennsylvania","2020","7254","NaN"
"Puerto Rico","2020","590","NaN"
"Rhode Island","2020","880","NaN"
"South Carolina","2020","2961","NaN"
"South Dakota","2020","1115","NaN"
"Tennessee","2020","5860","NaN"
"Texas","2020","16434","NaN"
"Utah","2020","1625","NaN"
"Vermont","2020","556","NaN"
"Virginia","2020","2505","NaN"
"Washington","2020","4308","NaN"
"West Virginia","2020","4707","NaN"
"Wisconsin","2020","4001","NaN"
"Wyoming","2020","854","NaN"
