"State","Year","Emotional Abuse (%)","Medical Neglect (%)","Neglect (%)","Physical Abuse (%)","Sexual Abuse (%)","Trafficking (%)","Other (%)","Missing Data (%)"
"Alabama","2018","0.3","0.6","42.9","53.3","16.6","0","0","0"
"Alaska","2018","28.4","2.9","88.8","17","7.8","0.2","0","0"
"Arizona","2018","0.1","NaN","97.2","8.2","4","NaN","0","0"
"Arkansas","2018","1.3","16.7","49.7","30.2","20.2","0.1","0","0"
"California","2018","10.3","0.2","93","7.8","5.4","0.1","0.8","0"
"Colorado","2018","2","1.8","88.1","10.7","8.7","NaN","0","0.3"
"Connecticut","2018","32.3","2.9","91.2","5.4","5.2","0","0","0"
"Delaware","2018","NaN","NaN","61.4","20.9","10.2","NaN","16.5","0"
"District of Columbia","2018","NaN","NaN","91.8","17.5","3.6","1.4","0.1","0"
"Florida","2018","1.3","3.2","61.5","8.5","7.9","NaN","43.7","0"
"Georgia","2018","19.6","2.4","74","11.4","6.6","0.4","0","0"
"Hawaii","2018","0.4","1.1","13.2","8.3","5.8","0.1","93.2","0"
"Idaho","2018","NaN","0.5","82.3","19.6","5.4","0.1","0.5","0"
"Illinois","2018","0.1","2.2","81.4","19.3","15.5","NaN","0","0"
"Indiana","2018","NaN","NaN","93.6","7","10.7","0.1","0","0"
"Iowa","2018","0.8","1","84.7","11.4","6.6","NaN","33","0"
"Kansas","2018","18.6","3.7","48.6","24.2","18.9","0","0","0"
"Kentucky","2018","0.2","2.2","106.3","6.3","4","NaN","0","0"
"Louisiana","2018","0.2","NaN","90.7","14.9","5.1","0","0.1","0"
"Maine","2018","35.2","NaN","63.6","31","8.8","0","0","0"
"Maryland","2018","0.3","NaN","66.8","20.3","25.3","NaN","0","0"
"Massachusetts","2018","NaN","NaN","104.5","8.6","3.3","0.9","0","0"
"Michigan","2018","0.6","2","85.8","24.1","3.8","0.1","0","0"
"Minnesota","2018","1.6","NaN","72","20.6","20.9","0.2","0","0"
"Mississippi","2018","16.9","4.5","79.2","15.7","12.7","NaN","0.2","0"
"Missouri","2018","10.7","3.2","56.8","30","32.4","NaN","0","0"
"Montana","2018","0.5","0.1","106.3","3.5","3.2","NaN","0","0"
"Nebraska","2018","0.6","0","84.7","13.1","11.4","0.1","0","0"
"Nevada","2018","0.3","1.6","88.7","19.4","6.5","NaN","0","0"
"New Hampshire","2018","2","2.2","90.1","8.3","7.4","NaN","0","0"
"New Jersey","2018","0.7","2.7","79.5","13.3","14","0","0","0"
"New Mexico","2018","30","3.4","90.2","12.6","3.8","NaN","0","0"
"New York","2018","0.8","6.9","110.1","10","3.7","NaN","31.3","0"
"North Carolina","2018","1.6","0.8","51.5","27.6","20.1","NaN","1.3","1"
"North Dakota","2018","39.6","2.7","78.3","9.4","3","NaN","0","0"
"Ohio","2018","5.9","1.8","48.3","48.3","18.2","0.1","0","0"
"Oklahoma","2018","31.1","1.7","79.5","12.5","4.6","0","0","0"
"Oregon","2018","2.1","1.2","55.3","11.8","7.6","0.2","51.3","0"
"Pennsylvania","2018","1.3","4.6","8.7","44.3","46.9","0.3","1","0"
"Puerto Rico","2018","48.2","9.1","64.7","25.9","2.3","0","0.6","0"
"Rhode Island","2018","37.1","1.1","61.8","14.7","4.7","NaN","1.3","0"
"South Carolina","2018","0.8","2.1","63.1","55.5","5","NaN","0.1","0"
"South Dakota","2018","2.5","NaN","95.9","8.1","2.9","NaN","0","0"
"Tennessee","2018","3.1","1.9","22.2","62.6","27.8","0.9","0","0"
"Texas","2018","0.6","1.9","86.2","13.1","10.4","0","0","0"
"Utah","2018","29","0.5","29.8","46.9","17.4","NaN","1.9","0"
"Vermont","2018","0.6","1.7","1.1","63.9","43.9","NaN","0","0"
"Virginia","2018","1.5","2.4","68.3","29.4","11.5","NaN","0","0"
"Washington","2018","NaN","NaN","90.5","22.3","12","1","0","0"
"West Virginia","2018","65.4","5.1","42.1","83.8","3.3","NaN","0","0"
"Wisconsin","2018","0.6","1","69.8","15.8","22.5","1.5","0","0"
"Wyoming","2018","33.2","1.1","81.5","1.3","6.7","NaN","0.6","0"
