"State","Year","Emotional Abuse (%)","Medical Neglect (%)","Neglect (%)","Physical Abuse (%)","Sexual Abuse (%)","Trafficking (%)","Other (%)","Missing Data (%)"
"Alabama","2019","0.2","0.7","39.8","54.8","17.7","0","0","0"
"Alaska","2019","35.7","3","86.7","16.5","9.2","0.1","0","0"
"Arizona","2019","0.1","NaN","97.2","8.1","3.9","NaN","0","0"
"Arkansas","2019","1.1","17.3","54.1","24.7","19.6","0.1","0","0"
"California","2019","9.3","0.1","94.3","7.3","5.4","0.1","0.7","0"
"Colorado","2019","2.2","1.3","88.7","10.2","9.7","NaN","0","0.2"
"Connecticut","2019","33.2","3.1","91.7","5.5","4.9","NaN","0","0"
"Delaware","2019","38.5","NaN","31","17.8","10.6","NaN","13.3","0"
"District of Columbia","2019","NaN","NaN","94.4","15.2","3.5","1.5","0.3","0"
"Florida","2019","1.3","3.3","61.2","8.7","9.1","NaN","43.1","0"
"Georgia","2019","19.8","2.7","68.8","11.9","8.5","0.5","0","0"
"Hawaii","2019","1","0.8","16.4","10.6","5.9","1.3","92.3","0"
"Idaho","2019","NaN","0.6","80.1","20.2","6.9","0.1","0.4","0"
"Illinois","2019","0.2","2.3","85","18.8","14.4","NaN","0.2","0"
"Indiana","2019","NaN","NaN","94.2","7.1","11","0.1","0","0"
"Iowa","2019","0.7","0.9","81.7","10.5","6.6","NaN","36.8","0"
"Kansas","2019","16.6","2.9","48.1","25.1","19.9","0.3","0","0"
"Kentucky","2019","0.2","1.9","106","6.9","4","NaN","0","0"
"Louisiana","2019","0.2","NaN","91","12.6","5.2","0.1","0.1","0"
"Maine","2019","35","NaN","66.8","30.3","8.2","NaN","0","0"
"Maryland","2019","0.2","NaN","65.1","20.9","25.9","NaN","0","0"
"Massachusetts","2019","NaN","NaN","104.9","8.1","3.2","1.3","0","0"
"Michigan","2019","0.6","2.4","94.1","15.7","4","0.1","0","0"
"Minnesota","2019","2","NaN","71.7","15","23.7","0.4","0","0"
"Mississippi","2019","17.4","5.2","77.6","16.4","14.2","0.2","0.1","0"
"Missouri","2019","12.3","3","53.9","30.3","33.4","0.2","0.1","0"
"Montana","2019","0.6","0.3","104.5","4.6","2.5","NaN","0.1","0"
"Nebraska","2019","0.4","0.1","86.5","13","9.5","0.1","0","0"
"Nevada","2019","0.1","1.7","89.5","19.5","5.8","NaN","0","0"
"New Hampshire","2019","1.6","4.2","87.9","8.8","8.2","NaN","0","0"
"New Jersey","2019","1.4","2.4","77.7","13","15.4","0.1","0","0"
"New Mexico","2019","29","3.4","95.5","12.6","2.8","NaN","0","0"
"New York","2019","0.8","7","110.5","9.5","3.6","NaN","29.9","0"
"North Carolina","2019","2","1","46.3","28.9","22","NaN","2","0.8"
"North Dakota","2019","28.7","2.8","80","7.5","3.7","NaN","0","0"
"Ohio","2019","6.7","2","49.2","47.8","18.3","0.1","0","0"
"Oklahoma","2019","33.6","1.8","78.2","12.8","4.7","0","0","0"
"Oregon","2019","2","1.4","53.8","12.6","8.1","0.3","51.4","0"
"Pennsylvania","2019","1.2","4.7","10.1","45.7","44.9","0.7","0.5","0"
"Puerto Rico","2019","49.6","11.4","69.7","24.6","2.5","0","0.7","0"
"Rhode Island","2019","36.8","1.8","63.1","13.8","4.5","0","2.2","0"
"South Carolina","2019","0.6","2","57.7","57.9","5.1","NaN","0.1","0"
"South Dakota","2019","1.2","NaN","97.3","9.4","3.8","NaN","0","0"
"Tennessee","2019","4","1.5","25.2","61.9","25.2","1.1","0","0"
"Texas","2019","0.6","1.8","86.1","12.3","10.9","0","0","0"
"Utah","2019","31.2","0.4","29.1","44.8","17.7","0.1","1.3","0"
"Vermont","2019","2","2.7","3.1","62.7","43.7","NaN","0","0"
"Virginia","2019","1.1","2.4","67","29.2","12.7","NaN","0","0"
"Washington","2019","NaN","NaN","89.7","23.9","12","0.4","0","0"
"West Virginia","2019","66.1","5.7","42","84","3.7","NaN","0","0"
"Wisconsin","2019","0.7","2.1","71","16.5","21.5","1.2","0","0"
"Wyoming","2019","32.8","0.6","77.3","1.9","6.6","NaN","0","0"
