"State","Year","Number","Median Length of Stay (months)"
"Alabama","2017","4916","11.8"
"Alaska","2017","2764","14.8"
"Arizona","2017","16840","11.9"
"Arkansas","2017","4767","9.1"
"California","2017","52390","14.2"
"Colorado","2017","5443","10.3"
"Connecticut","2017","3660","14.7"
"Delaware","2017","746","11.6"
"District of Columbia","2017","810","16.7"
"Florida","2017","22935","9.6"
"Georgia","2017","12216","12.5"
"Hawaii","2017","1518","11.9"
"Idaho","2017","1438","9.4"
"Illinois","2017","14879","23.3"
"Indiana","2017","19255","10.8"
"Iowa","2017","5259","9.9"
"Kansas","2017","7141","13.8"
"Kentucky","2017","7546","13.7"
"Louisiana","2017","4377","11.7"
"Maine","2017","1831","14.4"
"Maryland","2017","3753","14.8"
"Massachusetts","2017","10649","14.6"
"Michigan","2017","11376","12.8"
"Minnesota","2017","8468","10.4"
"Mississippi","2017","5135","11.5"
"Missouri","2017","12256","12.2"
"Montana","2017","3321","11.8"
"Nebraska","2017","3920","11.2"
"Nevada","2017","4186","12.7"
"New Hampshire","2017","1072","9.7"
"New Jersey","2017","6405","14.4"
"New Mexico","2017","2577","15.5"
"New York","2017","16887","19.1"
"North Carolina","2017","9671","12.5"
"North Dakota","2017","1375","13.3"
"Ohio","2017","13350","10.6"
"Oklahoma","2017","10011","14.3"
"Oregon","2017","7261","14.4"
"Pennsylvania","2017","15554","13.1"
"Puerto Rico","2017","NaN","NaN"
"Rhode Island","2017","1600","12.3"
"South Carolina","2017","3893","11.6"
"South Dakota","2017","1387","11.1"
"Tennessee","2017","6566","9.7"
"Texas","2017","30491","10.4"
"Utah","2017","2778","8.6"
"Vermont","2017","1257","14.1"
"Virginia","2017","4894","13.9"
"Washington","2017","10856","16.4"
"West Virginia","2017","5541","8.6"
"Wisconsin","2017","7051","12.7"
"Wyoming","2017","928","9.1"
