"State","Year","Number","Median Length of Stay (months)"
"Alabama","2019","5756","12"
"Alaska","2019","2720","15.4"
"Arizona","2019","13082","11.7"
"Arkansas","2019","4159","11.9"
"California","2019","49747","15.2"
"Colorado","2019","5322","11.8"
"Connecticut","2019","4095","15.5"
"Delaware","2019","664","15.5"
"District of Columbia","2019","701","17.2"
"Florida","2019","23538","10.8"
"Georgia","2019","13708","14.2"
"Hawaii","2019","1603","12.2"
"Idaho","2019","1719","9.6"
"Illinois","2019","16323","20.6"
"Indiana","2019","18026","14.3"
"Iowa","2019","6005","10.4"
"Kansas","2019","7852","14.1"
"Kentucky","2019","9154","11.2"
"Louisiana","2019","4468","11.4"
"Maine","2019","1751","10.4"
"Maryland","2019","3871","14.5"
"Massachusetts","2019","10382","16.5"
"Michigan","2019","12075","13.7"
"Minnesota","2019","8969","12.1"
"Mississippi","2019","4643","15.6"
"Missouri","2019","12438","12.7"
"Montana","2019","3872","14"
"Nebraska","2019","3434","13.9"
"Nevada","2019","4490","13"
"New Hampshire","2019","1265","12.3"
"New Jersey","2019","5437","14.8"
"New Mexico","2019","2486","18.1"
"New York","2019","15717","16.9"
"North Carolina","2019","10112","13.7"
"North Dakota","2019","1531","13"
"Ohio","2019","15030","10.5"
"Oklahoma","2019","8584","13.2"
"Oregon","2019","7195","15.8"
"Pennsylvania","2019","16056","14.2"
"Puerto Rico","2019","2154","21.8"
"Rhode Island","2019","1947","11.4"
"South Carolina","2019","4342","11.4"
"South Dakota","2019","1518","12.7"
"Tennessee","2019","7652","9.8"
"Texas","2019","32642","10.8"
"Utah","2019","2552","10"
"Vermont","2019","1249","12.3"
"Virginia","2019","4812","13.5"
"Washington","2019","11246","17.4"
"West Virginia","2019","6989","9.9"
"Wisconsin","2019","7651","13.2"
"Wyoming","2019","1033","9.3"
