"State","Year","Number","Median Length of Stay (months)"
"Alabama","2018","5486","11.1"
"Alaska","2018","2695","15.8"
"Arizona","2018","14736","12.2"
"Arkansas","2018","4688","10.9"
"California","2018","51031","15"
"Colorado","2018","5498","10.3"
"Connecticut","2018","3712","15.7"
"Delaware","2018","728","13.3"
"District of Columbia","2018","732","18.7"
"Florida","2018","23734","10.5"
"Georgia","2018","12968","13.8"
"Hawaii","2018","1506","12.2"
"Idaho","2018","1537","10.4"
"Illinois","2018","15367","23.2"
"Indiana","2018","20252","12"
"Iowa","2018","5685","9.5"
"Kansas","2018","7537","14.4"
"Kentucky","2018","7856","13"
"Louisiana","2018","4366","11.9"
"Maine","2018","1571","13.4"
"Maryland","2018","3797","14.8"
"Massachusetts","2018","10668","16.4"
"Michigan","2018","11897","12.5"
"Minnesota","2018","9299","10.9"
"Mississippi","2018","5362","13.9"
"Missouri","2018","12255","13.4"
"Montana","2018","3786","12.6"
"Nebraska","2018","4093","11.6"
"Nevada","2018","4343","12.6"
"New Hampshire","2018","1238","10.9"
"New Jersey","2018","5842","14.7"
"New Mexico","2018","2620","16.7"
"New York","2018","16391","17.1"
"North Carolina","2018","9710","13"
"North Dakota","2018","1448","13.5"
"Ohio","2018","14419","10"
"Oklahoma","2018","9257","12.8"
"Oregon","2018","7555","13.7"
"Pennsylvania","2018","16342","13.4"
"Puerto Rico","2018","2078","21.6"
"Rhode Island","2018","1786","10.2"
"South Carolina","2018","3949","12.1"
"South Dakota","2018","1561","11.4"
"Tennessee","2018","7282","8.8"
"Texas","2018","31864","10.7"
"Utah","2018","2895","9.2"
"Vermont","2018","1164","13.9"
"Virginia","2018","4814","14.4"
"Washington","2018","11253","16.8"
"West Virginia","2018","6487","8.8"
"Wisconsin","2018","7552","12.1"
"Wyoming","2018","1030","7.8"
