"State","Year","Number","Median Length of Stay (months)"
"Alabama","2021","3631","NaN"
"Alaska","2021","1324","NaN"
"Arizona","2021","8368","NaN"
"Arkansas","2021","2949","NaN"
"California","2021","22892","NaN"
"Colorado","2021","3542","NaN"
"Connecticut","2021","1168","NaN"
"Delaware","2021","294","NaN"
"District of Columbia","2021","243","NaN"
"Florida","2021","13212","NaN"
"Georgia","2021","4718","NaN"
"Hawaii","2021","1037","NaN"
"Idaho","2021","1346","NaN"
"Illinois","2021","6944","NaN"
"Indiana","2021","7291","NaN"
"Iowa","2021","2904","NaN"
"Kansas","2021","3172","NaN"
"Kentucky","2021","5100","NaN"
"Louisiana","2021","2358","NaN"
"Maine","2021","909","NaN"
"Maryland","2021","1538","NaN"
"Massachusetts","2021","4397","NaN"
"Michigan","2021","3837","NaN"
"Minnesota","2021","4552","NaN"
"Mississippi","2021","2029","NaN"
"Missouri","2021","6819","NaN"
"Montana","2021","1697","NaN"
"Nebraska","2021","2032","NaN"
"Nevada","2021","2820","NaN"
"New Hampshire","2021","591","NaN"
"New Jersey","2021","1534","NaN"
"New Mexico","2021","929","NaN"
"New York","2021","6353","NaN"
"North Carolina","2021","5431","NaN"
"North Dakota","2021","950","NaN"
"Ohio","2021","10505","NaN"
"Oklahoma","2021","3461","NaN"
"Oregon","2021","2413","NaN"
"Pennsylvania","2021","7499","NaN"
"Puerto Rico","2021","761","NaN"
"Rhode Island","2021","777","NaN"
"South Carolina","2021","2709","NaN"
"South Dakota","2021","1013","NaN"
"Tennessee","2021","6185","NaN"
"Texas","2021","15127","NaN"
"Utah","2021","1522","NaN"
"Vermont","2021","591","NaN"
"Virginia","2021","2335","NaN"
"Washington","2021","3849","NaN"
"West Virginia","2021","4710","NaN"
"Wisconsin","2021","3616","NaN"
"Wyoming","2021","828","NaN"
